user_pseudo_id,day_0
1893BBD76CAC18E9A165EB7B1BF7DAB5,2018-09-18
668F09CA0FBC05196FD4A92CA95BC07D,2018-09-18
8BDA630D33DB832A5864B1057194E239,2018-09-30
420F7FE2D66A1955DB97A92C922A7BAF,2018-09-30
D10B1A380359887542A49D51B3841952,2018-09-30
BBFF7D347DDE15D1F496005AE32C1D6E,2018-09-30
0217CFB14E415205AE6B110F64C9B713,2018-07-22
AAE4BD48C1A97F26FA131E549BD9D745,2018-07-22
5DA272946440EEB1691CDFC293D87390,2018-07-22
46CD1BC25288939026C6A0107240C77C,2018-07-22
7C6162BBF1B3987FDF3FF078FE6035B5,2018-07-22
51F21B36EB9D6FF7B5D7ACB89FF62B03,2018-08-03
6D717745A9FF51CA21D39208C1668378,2018-08-03
BF050559A5231C5FE89B5BCB3716F8FE,2018-08-03
355F39E8E6CC25F99FF88F4AB9426978,2018-08-03
A070CCB06DE90B72F374E9CB7EE77CA1,2018-08-03
C9E1BDDF758FECF6F07DE045B1FFF1A3,2018-08-03
B6E94FA5E946585CD3926EE5DC539689,2018-08-12
F8C81154E72430B1122E7C28B8ED30C5,2018-08-12
0061B4B16D4EABF6E23141FBAEEFE7B2,2018-08-12
DAD23DD885EEE844890417FC965052F0,2018-08-12
4981881A07711A41C3C9C50641E5F1C1,2018-08-12
85B81DFBB8BB85929FC509B07521581A,2018-06-23
CA7898B734DBAB1A53FEB4B8379D4EC3,2018-06-23
5A9A3E94580D662C817FD51B5C1D7E7E,2018-08-29
C8512BCE348E996C81697F6BE81F8B98,2018-08-29
10AC373FFA8419B1A0B4A16D2AC42E67,2018-06-20
F6DC8575E0BA41CA70E7F2593F9F3C3E,2018-06-20
E23C95FF567A4BC6641F6910E0F251D6,2018-06-20
C29F62DB26819D2C468ACD4CECE6E18F,2018-06-20
A99C556561010E88C12BABA334FA6C8D,2018-06-29
A8A510DCC86FAD0C92CD0081E04EE829,2018-06-29
826E7EC2231AD51101D79DBEB13FDA45,2018-06-29
462DCBC8BA661FBCF8036197000DD8F5,2018-06-29
0719D708CD6475CE61A35FAE0F110F9B,2018-06-29
7C39C0EE7BB418230FC3E01864D1EBF2,2018-06-29
5499A650A5095E94AADDBEAE43F374D1,2018-06-29
ABE7259EAB3D798600FC7BA2BBE83A93,2018-06-29
88CF546275A5A0524B9B97E128B608E4,2018-06-29
F4CB0B30E0A170AEB6A94EF1156738C8,2018-09-01
34CAF47105A2D9D0AC7464BB3AF8DB2A,2018-09-01
2B6D9C77F287F5C021EC7297203D412B,2018-09-01
2C45FDF91F91AE8A3A9E6F119E8BED13,2018-09-01
122B9693B647802ACC0727BF5A36F75E,2018-09-17
058F27C84973779389327603537D2A3A,2018-09-17
E9FCF9F1FDF7016CF79A30251B2FA52B,2018-09-17
BED87FA077A814D97BF7D53C070BCDCA,2018-07-21
CB95915AFE269313FE5F8C23A4A8C2D6,2018-07-21
A714BE9CF5187C4CDAF69D2CBF224057,2018-07-21
D982AD4FD69F74AA725DAECD1BE74AA8,2018-07-21
CEF9B763F040531679C7B86A1F05F6DD,2018-07-21
019FCC6C080A33E9B697CAA476C4156E,2018-08-08
717636DB6BB28A28CD06680B18ACE076,2018-08-08
7439CA3E049F434742CB5C63A55FC24D,2018-08-08
9C82775812A959D5A1446FDA75CC2C88,2018-08-08
DA426D16B0EAB27DE1AC9D6E3418F400,2018-07-30
2CD70A7B8E8442DBF6BB7E5EFEEFA0B1,2018-07-30
6A50ADC841633E84CD6BA0C528FE007C,2018-07-30
F8B95AE4A257A86F7E55E7C80935A4E2,2018-07-30
B6A8AEA27748774830324A996FFE2687,2018-07-30
A98E72E7110470331C8EDB822E9A1D8D,2018-07-30
E80C958E3C33898989A30B8F5A4514F0,2018-07-30
2DF04CEF5AB1A9BD21AB05012694CC1F,2018-06-24
48F6F3E87C6DB2D2776844D640FF6EC0,2018-06-24
85218BDF951D91C969EDE99422AF82AD,2018-06-24
BE042BC1484A69E1731FB487C1AD34B9,2018-09-26
1A5F65A1119361BD57D9E85304B1511A,2018-09-26
