period,window_group,event_name,n_events,n_users
20180620,pre_window,post_score,1658,231
20180620,pre_window,level_retry_quickplay,170,69
20180620,pre_window,level_start,280,49
20180620,pre_window,level_start_quickplay,4673,263
20180620,pre_window,level_end_quickplay,2892,228
20180620,in_window,level_complete,128,17
20180620,in_window,session_start,48,36
20180620,pre_window,app_exception,61,13
20180620,in_window,level_end,217,19
20180620,pre_window,os_update,25,25
20180620,pre_window,level_complete,107,30
20180620,pre_window,level_end,171,40
20180620,pre_window,level_retry,140,34
20180620,in_window,level_retry_quickplay,7,5
20180620,pre_window,use_extra_steps,29,8
20180620,pre_window,app_remove,20,20
20180620,in_window,select_content,103,36
20180620,in_window,user_engagement,1126,39
20180620,pre_window,level_fail,47,19
20180620,in_window,level_up,150,19
20180620,in_window,spend_virtual_currency,15,6
20180620,in_window,level_start,280,21
20180620,in_window,no_more_extra_steps,3,2
20180620,in_window,post_score,183,29
20180620,pre_window,level_fail_quickplay,1358,140
20180620,pre_window,level_reset_quickplay,1280,48
20180620,in_window,level_complete_quickplay,33,15
20180620,in_window,level_fail_quickplay,22,9
20180620,in_window,level_reset_quickplay,28,7
20180620,in_window,screen_view,1687,38
20180620,pre_window,app_update,14,14
20180620,in_window,first_open,34,34
20180620,in_window,firebase_campaign,52,26
20180618,pre_window,post_score,3166,397
20180618,pre_window,level_reset,141,35
20180618,pre_window,user_engagement,16890,553
20180618,pre_window,level_fail_quickplay,1812,202
20180618,pre_window,level_retry_quickplay,519,89
20180618,pre_window,level_complete,405,69
20180618,pre_window,level_start,1033,113
20180618,pre_window,completed_5_levels,20,20
20180618,pre_window,level_retry,633,80
20180618,pre_window,screen_view,6787,1185
20180618,pre_window,session_start,709,449
20180618,pre_window,level_start_quickplay,7156,407
20180618,in_window,level_start_quickplay,173,7
20180618,pre_window,level_reset_quickplay,1752,87
20180618,pre_window,app_exception,144,22
20180618,pre_window,level_end,741,102
20180618,pre_window,level_complete_quickplay,505,90
